Step,front_r_mean,front_g_mean,front_b_mean,left_r_mean,left_g_mean,left_b_mean,right_r_mean,right_g_mean,right_b_mean
0,0.6626873136817082,0.6626873136817082,0.6626873136817082,0.6607498249520606,0.6607498249520606,0.6607498249520606,0.68350320993299,0.68350320993299,0.68350320993299
1,0.6625936986115176,0.6625936986115176,0.6625936986115176,0.6606460218599198,0.6606460218599198,0.6606460218599198,0.6832270649153522,0.6832270649153522,0.6832270649153522
2,0.6617423975332591,0.6617423975332591,0.6617423975332591,0.6601840810348499,0.6601840810348499,0.6601840810348499,0.6785012712076783,0.6785012712076783,0.6785012712076783
3,0.6606710733678455,0.6606710733678455,0.6606710733678455,0.6601052496230513,0.6601052496230513,0.6601052496230513,0.668172076886945,0.668172076886945,0.668172076886945
4,0.6606185537550423,0.6606185537550423,0.6606185537550423,0.6612885431780763,0.6612885431780763,0.6612885431780763,0.6564819974353324,0.6564819974353324,0.6564819974353324
5,0.6612554488052174,0.6612554488052174,0.6612554488052174,0.6635828305244438,0.6635828305244438,0.6635828305244438,0.6534485522194736,0.6534485522194736,0.6534485522194736
6,0.6629413128854204,0.6629413128854204,0.6629413128854204,0.6741289522690935,0.6741289522690935,0.6741289522690935,0.6540429074228414,0.6540429074228414,0.6540429074228414
7,0.6653551652718336,0.6653551652718336,0.6653551652718336,0.6780542961432894,0.6780542961432894,0.6780542961432894,0.6554719350893267,0.6554719350893267,0.6554719350893267
8,0.6729301809968354,0.6729301809968354,0.6729301809968354,0.6793152261953631,0.6793152261953631,0.6793152261953631,0.6584797370118597,0.6584797370118597,0.6584797370118597
9,0.6805225067943139,0.6805225067943139,0.6805225067943139,0.678788340684697,0.678788340684697,0.678788340684697,0.6625082700477348,0.6625082700477348,0.6625082700477348
10,0.67949098017506,0.67949098017506,0.67949098017506,0.6760053588277213,0.6760053588277213,0.6760053588277213,0.6660074751751297,0.6660074751751297,0.6660074751751297
11,0.6798437512614138,0.6798437512614138,0.6798437512614138,0.6753310162768292,0.6753310162768292,0.6753310162768292,0.6692412552268557,0.6692412552268557,0.6692412552268557
12,0.6798390696933928,0.6798390696933928,0.6798390696933928,0.6747049760447843,0.6747049760447843,0.6747049760447843,0.6702070175173228,0.6702070175173228,0.6702070175173228
13,0.6801295366803691,0.6801295366803691,0.6801295366803691,0.6747754095985702,0.6747754095985702,0.6747754095985702,0.6700416269257893,0.6700416269257893,0.6700416269257893
14,0.6809820699236292,0.6809820699236292,0.6809820699236292,0.6765666509534892,0.6765666509534892,0.6765666509534892,0.6669891644812979,0.6669891644812979,0.6669891644812979
15,0.6819294802964148,0.6819294802964148,0.6819294802964148,0.6781793032515054,0.6781793032515054,0.6781793032515054,0.6616924526573981,0.6616924526573981,0.6616924526573981
16,0.6768347767978934,0.6768347767978934,0.6768347767978934,0.6812023165577156,0.6812023165577156,0.6812023165577156,0.6567176907729583,0.6567176907729583,0.6567176907729583
17,0.6691614231989035,0.6691614231989035,0.6691614231989035,0.6827069158943052,0.6827069158943052,0.6827069158943052,0.6525545897579198,0.6525545897579198,0.6525545897579198
18,0.6642421744777847,0.6642421744777847,0.6642421744777847,0.6823357018318387,0.6823357018318387,0.6823357018318387,0.6498584512899832,0.6498584512899832,0.6498584512899832
19,0.6598169911795136,0.6598169911795136,0.6598169911795136,0.6792034635311381,0.6792034635311381,0.6792034635311381,0.6476192329370672,0.6476192329370672,0.6476192329370672
20,0.6559795518510209,0.6559795518510209,0.6559795518510209,0.6743980346970512,0.6743980346970512,0.6743980346970512,0.6451159297007353,0.6451159297007353,0.6451159297007353
21,0.6536639804450569,0.6536639804450569,0.6536639804450569,0.6678251053206328,0.6678251053206328,0.6678251053206328,0.643163124982801,0.643163124982801,0.643163124982801
22,0.6507320200653023,0.6507320200653023,0.6507320200653023,0.6630023774712214,0.6630023774712214,0.6630023774712214,0.6410249269636017,0.6410249269636017,0.6410249269636017
23,0.6486841038824989,0.6486841038824989,0.6486841038824989,0.6582373273480767,0.6582373273480767,0.6582373273480767,0.6390957068725259,0.6390957068725259,0.6390957068725259
24,0.6465313747374607,0.6465313747374607,0.6465313747374607,0.6544521103851065,0.6544521103851065,0.6544521103851065,0.6375973749826754,0.6375973749826754,0.6375973749826754
25,0.6447767178237855,0.6447767178237855,0.6447767178237855,0.6517583464514439,0.6517583464514439,0.6517583464514439,0.6358720920071389,0.6358720920071389,0.6358720920071389
26,0.6432400751643579,0.6432400751643579,0.6432400751643579,0.6497029657451383,0.6497029657451383,0.6497029657451383,0.6340303714560421,0.6340303714560421,0.6340303714560421
27,0.6412715198693216,0.6412715198693216,0.6412715198693216,0.6474422751821797,0.6474422751821797,0.6474422751821797,0.6324625308675157,0.6324625308675157,0.6324625308675157
28,0.6394993034054216,0.6394993034054216,0.6394993034054216,0.645430399231804,0.645430399231804,0.645430399231804,0.6304308018279523,0.6304308018279523,0.6304308018279523
29,0.6371635527551612,0.6371635527551612,0.6371635527551612,0.6429361330001374,0.6429361330001374,0.6429361330001374,0.6287234747797233,0.6287234747797233,0.6287234747797233
30,0.6349957365502544,0.6349957365502544,0.6349957365502544,0.6412115651679088,0.6412115651679088,0.6412115651679088,0.6266986508562744,0.6266986508562744,0.6266986508562744
31,0.6329604694114135,0.6329604694114135,0.6329604694114135,0.6388582015276555,0.6388582015276555,0.6388582015276555,0.6248675176376287,0.6248675176376287,0.6248675176376287
32,0.6305678831359136,0.6305678831359136,0.6305678831359136,0.6366500904248006,0.6366500904248006,0.6366500904248006,0.6226849424282808,0.6226849424282808,0.6226849424282808
33,0.6286835531960641,0.6286835531960641,0.6286835531960641,0.6349631643862302,0.6349631643862302,0.6349631643862302,0.6203971414285964,0.6203971414285964,0.6203971414285964
34,0.6264268682156688,0.6264268682156688,0.6264268682156688,0.6327846577019649,0.6327846577019649,0.6327846577019649,0.6176010895817471,0.6176010895817471,0.6176010895817471
35,0.6245432890327948,0.6245432890327948,0.6245432890327948,0.6311557907336148,0.6311557907336148,0.6311557907336148,0.6154761692252867,0.6154761692252867,0.6154761692252867
36,0.6221690082228825,0.6221690082228825,0.6221690082228825,0.6295698916638212,0.6295698916638212,0.6295698916638212,0.6133488737568643,0.6133488737568643,0.6133488737568643
37,0.6198261878389276,0.6198261878389276,0.6198261878389276,0.6272256519878878,0.6272256519878878,0.6272256519878878,0.6109668812808559,0.6109668812808559,0.6109668812808559
38,0.6163127532579674,0.6163127532579674,0.6163127532579674,0.6232676877433302,0.6232676877433302,0.6232676877433302,0.6077804133504902,0.6077804133504902,0.6077804133504902
39,0.6129585716771039,0.6129585716771039,0.6129585716771039,0.6198648838452162,0.6198648838452162,0.6198648838452162,0.6043524331010225,0.6043524331010225,0.6043524331010225
40,0.6056070403827002,0.6056070403827002,0.6056070403827002,0.6119347426257233,0.6119347426257233,0.6119347426257233,0.597989874438416,0.597989874438416,0.597989874438416
41,0.603208407125115,0.603208407125115,0.603208407125115,0.6108937895912382,0.6108937895912382,0.6108937895912382,0.5956959207957323,0.5956959207957323,0.5956959207957323
42,0.6002091862506886,0.6002091862506886,0.6002091862506886,0.6065015864535348,0.6065015864535348,0.6065015864535348,0.5933533844531099,0.5933533844531099,0.5933533844531099
43,0.5966143189810803,0.5966143189810803,0.5966143189810803,0.6027610912828701,0.6027610912828701,0.6027610912828701,0.5906667335292268,0.5906667335292268,0.5906667335292268
44,0.5932627062973941,0.5932627062973941,0.5932627062973941,0.5990411189526194,0.5990411189526194,0.5990411189526194,0.5878046803335425,0.5878046803335425,0.5878046803335425
45,0.5896617814094723,0.5896617814094723,0.5896617814094723,0.5952589195580338,0.5952589195580338,0.5952589195580338,0.5849432120987416,0.5849432120987416,0.5849432120987416
46,0.585827672535998,0.585827672535998,0.585827672535998,0.5913174937237986,0.5913174937237986,0.5913174937237986,0.581765979766884,0.581765979766884,0.581765979766884
47,0.580946998475477,0.580946998475477,0.580946998475477,0.5861299224432851,0.5861299224432851,0.5861299224432851,0.5777531675791404,0.5777531675791404,0.5777531675791404
48,0.5768324010345625,0.5768324010345625,0.5768324010345625,0.5815432887152677,0.5815432887152677,0.5815432887152677,0.5739524922728845,0.5739524922728845,0.5739524922728845
49,0.5725845533969752,0.5725845533969752,0.5725845533969752,0.5778711054327461,0.5778711054327461,0.5778711054327461,0.5684114761840563,0.5684114761840563,0.5684114761840563
50,0.5673240950677266,0.5673240950677266,0.5673240950677266,0.5752294210946569,0.5752294210946569,0.5752294210946569,0.562272558543428,0.562272558543428,0.562272558543428
51,0.5619672119335526,0.5619672119335526,0.5619672119335526,0.5735864487274284,0.5735864487274284,0.5735864487274284,0.5569246995441733,0.5569246995441733,0.5569246995441733
52,0.5534248445672919,0.5534248445672919,0.5534248445672919,0.5702462936393563,0.5702462936393563,0.5702462936393563,0.5482734480809194,0.5482734480809194,0.5482734480809194
53,0.5474507458581166,0.5474507458581166,0.5474507458581166,0.5663573103864047,0.5663573103864047,0.5663573103864047,0.543931969648182,0.543931969648182,0.543931969648182
54,0.5412923145472927,0.5412923145472927,0.5412923145472927,0.5634101089240103,0.5634101089240103,0.5634101089240103,0.5395779385320872,0.5395779385320872,0.5395779385320872
55,0.5343080538655353,0.5343080538655353,0.5343080538655353,0.5597212357362669,0.5597212357362669,0.5597212357362669,0.5355528143263758,0.5355528143263758,0.5355528143263758
56,0.5252312127371356,0.5252312127371356,0.5252312127371356,0.5537200885574712,0.5537200885574712,0.5537200885574712,0.5312241289661231,0.5312241289661231,0.5312241289661231
57,0.511995753842586,0.511995753842586,0.511995753842586,0.5466897683053312,0.5466897683053312,0.5466897683053312,0.5245006666778356,0.5245006666778356,0.5245006666778356
58,0.4999390116511615,0.4999390116511615,0.4999390116511615,0.5368815634852663,0.5368815634852663,0.5368815634852663,0.5168048249781004,0.5168048249781004,0.5168048249781004
59,0.49478160457410053,0.49478160457410053,0.49478160457410053,0.530433841732073,0.530433841732073,0.530433841732073,0.5095816924396577,0.5095816924396577,0.5095816924396577
60,0.49229174381555935,0.49229174381555935,0.49229174381555935,0.5234560635332909,0.5234560635332909,0.5234560635332909,0.503719729923059,0.503719729923059,0.503719729923059
61,0.4916225542410246,0.4916225542410246,0.4916225542410246,0.5160547859482657,0.5160547859482657,0.5160547859482657,0.4958466239993821,0.4958466239993821,0.4958466239993821
62,0.49163741644260534,0.49163741644260534,0.49163741644260534,0.5070009768981342,0.5070009768981342,0.5070009768981342,0.48782424231374,0.48782424231374,0.48782424231374
63,0.49163047775318613,0.49163047775318613,0.49163047775318613,0.4960762475810203,0.4960762475810203,0.4960762475810203,0.4792780827314355,0.4792780827314355,0.4792780827314355
64,0.4915979894019791,0.4915979894019791,0.4915979894019791,0.4876882392868573,0.4876882392868573,0.4876882392868573,0.47477313092785706,0.47477313092785706,0.47477313092785706
65,0.491606240638321,0.491606240638321,0.491606240638321,0.4808077283599721,0.4808077283599721,0.4808077283599721,0.47170275266866457,0.47170275266866457,0.47170275266866457
66,0.49157841318395135,0.49157841318395135,0.49157841318395135,0.47923307177066116,0.47923307177066116,0.47923307177066116,0.4718666378804153,0.4718666378804153,0.4718666378804153
67,0.4916149176938928,0.4916149176938928,0.4916149176938928,0.4790925210867348,0.4790925210867348,0.4790925210867348,0.47199888762469655,0.47199888762469655,0.47199888762469655
68,0.4916145664987433,0.4916145664987433,0.4916145664987433,0.4790514803155388,0.4790514803155388,0.4790514803155388,0.472035044493126,0.472035044493126,0.472035044493126
69,0.49160452645342795,0.49160452645342795,0.49160452645342795,0.4790335186210048,0.4790335186210048,0.4790335186210048,0.47200651791053216,0.47200651791053216,0.47200651791053216
70,0.49164871551637196,0.49164871551637196,0.49164871551637196,0.4791283714458346,0.4791283714458346,0.4791283714458346,0.471994104134759,0.471994104134759,0.471994104134759
71,0.4916661561265511,0.4916661561265511,0.4916661561265511,0.47923287711522206,0.47923287711522206,0.47923287711522206,0.47186393967941004,0.47186393967941004,0.47186393967941004
72,0.49166054059640185,0.49166054059640185,0.49166054059640185,0.4794099509628856,0.4794099509628856,0.4794099509628856,0.47177761498060056,0.47177761498060056,0.47177761498060056
73,0.4917243643247177,0.4917243643247177,0.4917243643247177,0.47957515537620643,0.47957515537620643,0.47957515537620643,0.4717115021868443,0.4717115021868443,0.4717115021868443
74,0.49176095523598246,0.49176095523598246,0.49176095523598246,0.47968292456900086,0.47968292456900086,0.47968292456900086,0.47167751010307096,0.47167751010307096,0.47167751010307096
75,0.4918228809845467,0.4918228809845467,0.4918228809845467,0.4798651007681834,0.4798651007681834,0.4798651007681834,0.47164761054984533,0.47164761054984533,0.47164761054984533
76,0.4918719778981418,0.4918719778981418,0.4918719778981418,0.47995668742539904,0.47995668742539904,0.47995668742539904,0.47160490188062115,0.47160490188062115,0.47160490188062115
77,0.49191127675412655,0.49191127675412655,0.49191127675412655,0.48016739628509814,0.48016739628509814,0.48016739628509814,0.47149441492867067,0.47149441492867067,0.47149441492867067
78,0.491972384464348,0.491972384464348,0.491972384464348,0.4803617839432137,0.4803617839432137,0.4803617839432137,0.47137803939726525,0.47137803939726525,0.47137803939726525
79,0.4920229739983204,0.4920229739983204,0.4920229739983204,0.48061354091424285,0.48061354091424285,0.48061354091424285,0.4712248333746825,0.4712248333746825,0.4712248333746825
80,0.4921045909598906,0.4921045909598906,0.4921045909598906,0.48086515686231235,0.48086515686231235,0.48086515686231235,0.47117668884744673,0.47117668884744673,0.47117668884744673
81,0.4922035040177449,0.4922035040177449,0.4922035040177449,0.4810333992551759,0.4810333992551759,0.4810333992551759,0.47110703740964177,0.47110703740964177,0.47110703740964177
